Category: All categories,
,
Month,bitcoin: (Worldwide)
2017-09,22
2017-10,22
2017-11,45
2017-12,100
2018-01,57
2018-02,41
2018-03,22
2018-04,18
2018-05,15
2018-06,13
2018-07,13
2018-08,13
2018-09,12
2018-10,9
2018-11,14
2018-12,13
2019-01,10
2019-02,10
2019-03,8
2019-04,12
2019-05,17
2019-06,20
2019-07,18
2019-08,15
2019-09,12
2019-10,12
2019-11,11
2019-12,11
2020-01,13
2020-02,14
2020-03,20
2020-04,16
2020-05,21
2020-06,13
2020-07,15
2020-08,16
2020-09,13
2020-10,14
2020-11,24
2020-12,31
2021-01,64
2021-02,66
2021-03,47
2021-04,54
2021-05,64
2021-06,45
2021-07,31
2021-08,32
2021-09,32
2021-10,36
2021-11,34
2021-12,34
2022-01,42
2022-02,35
2022-03,31
2022-04,23
2022-05,36
2022-06,41
2022-07,29
2022-08,22
2022-09,21
2022-10,17
2022-11,26
2022-12,17
2023-01,21
2023-02,19
2023-03,23
2023-04,21
2023-05,18
2023-06,19
2023-07,19
