time,open,Percent change in price (close/open),close,BTC Dominance Open,Percent change in dominance (close/open),BTC Dominance Close,Volume,RSI (relative strength index),HV (historical volatility)
2017-08-16T20:00:00-04:00,4261.48,0.5538%,4285.08,58.028157,-1.4775%,57.17080059,795.150377,NaN,NaN
2017-08-17T20:00:00-04:00,4285.08,-4.1238%,4108.37,57.24998849,-6.0952%,53.76051419,1199.888264,NaN,NaN
2017-08-18T20:00:00-04:00,4108.37,0.7694%,4139.98,53.80171504,1.0955%,54.39108968,381.309763,NaN,NaN
2017-08-19T20:00:00-04:00,4120.98,-0.8418%,4086.29,54.37567802,-1.8169%,53.3877438,467.083022,NaN,NaN
2017-08-20T20:00:00-04:00,4069.13,-1.3057%,4016,53.34889194,-2.0376%,52.26186112,691.74306,NaN,NaN
2017-08-21T20:00:00-04:00,4016,0.5976%,4040,52.18618841,-1.0532%,51.63656745,966.684858,NaN,NaN
2017-08-22T20:00:00-04:00,4040,1.8319%,4114.01,51.6796493,0.1371%,51.75051571,1001.136565,NaN,NaN
2017-08-23T20:00:00-04:00,4147,4.0755%,4316.01,51.6305551,2.8760%,53.1154449,787.418753,NaN,NaN
2017-08-24T20:00:00-04:00,4316.01,-0.8186%,4280.68,53.08193878,-0.5742%,52.77716623,573.61274,NaN,NaN
2017-08-25T20:00:00-04:00,4280.71,1.3252%,4337.44,52.80190645,-0.8723%,52.34131545,228.108068,NaN,NaN
2017-08-26T20:00:00-04:00,4332.51,-0.5193%,4310.01,52.33486721,-1.3520%,51.62730501,350.692585,NaN,43.75116824
2017-08-27T20:00:00-04:00,4310.01,1.7791%,4386.69,51.64108041,-0.2124%,51.53140129,603.841616,NaN,34.99643391
2017-08-28T20:00:00-04:00,4353.65,5.3709%,4587.48,51.50113932,1.5512%,52.3000154,603.545028,NaN,41.31267373
2017-08-29T20:00:00-04:00,4564.52,-0.2055%,4555.14,52.24364657,-1.6348%,51.38957663,808.468771,NaN,40.2083147
2017-08-30T20:00:00-04:00,4555.14,3.7266%,4724.89,51.41185043,-0.0784%,51.37154894,556.956802,67.85827398,38.23028056
2017-08-31T20:00:00-04:00,4689.89,3.0922%,4834.91,51.37286963,0.3070%,51.53059057,560.666366,70.67946559,37.80104677
2017-09-01T20:00:00-04:00,4796.16,-6.7558%,4472.14,51.55587355,2.4252%,52.80622482,929.148595,53.88472008,66.72572083
2017-09-02T20:00:00-04:00,4508.5,0.0129%,4509.08,52.73006897,-0.6077%,52.40965261,691.216198,55.05584599,61.82878103
2017-09-03T20:00:00-04:00,4505,-8.9876%,4100.11,52.39930252,3.3034%,54.13023563,1394.644614,42.26003454,84.26074066
2017-09-04T20:00:00-04:00,4106.97,6.3185%,4366.47,54.15156113,-0.9334%,53.64610823,1228.938157,50.35319153,92.45912692
2017-09-05T20:00:00-04:00,4366.49,5.8005%,4619.77,53.67467614,-1.3776%,52.93524709,807.363726,56.58522613,97.57275483
2017-09-06T20:00:00-04:00,4619.77,1.5551%,4691.61,52.94230725,-0.0517%,52.91495313,500.429975,58.18829512,97.49273298
